"","tissue","sample","technology","gene","cell_type","Z_score","log_fc","se","p_val","bias","xchr"
"103","Hippocampus","Mouse 1","Slide-seq","Rnf14","CA1",4.00435147735758,1.20350288516895,0.300548763507424,6.21878468348066e-05,"maternal",FALSE
"104","Hippocampus","Mouse 1","Slide-seq","Gap43","CA1",3.99931753398963,0.721248093453502,0.180342792819954,6.35254023705405e-05,"maternal",FALSE
"105","Hippocampus","Mouse 1","Slide-seq","Dlgap1","CA1",3.95313610653209,-0.36939063809965,0.0934424285289026,7.71335321024389e-05,"paternal",FALSE
"106","Hippocampus","Mouse 1","Slide-seq","Hnrnpc","CA1",3.93180502226913,-1.41196297004762,0.359113171189946,8.43104348275344e-05,"paternal",FALSE
"107","Hippocampus","Mouse 1","Slide-seq","Dnaja1","CA1",3.87061924550181,-3.90987320173737,1.01014151838396,0.00010855923820651,"paternal",FALSE
"108","Hippocampus","Mouse 1","Slide-seq","Idh3g","CA1",3.82478399571635,-1.22083099055818,0.319189525977277,0.000130886791391265,"paternal",TRUE
"109","Hippocampus","Mouse 1","Slide-seq","Kif1b","CA1",3.81911220835064,0.427212278465384,0.111861672336117,0.000133932832706047,"maternal",FALSE
"110","Hippocampus","Mouse 1","Slide-seq","Arhgef2","CA1",3.80269993233037,-1.00898423111768,0.265333644271887,0.000143127675385413,"paternal",FALSE
"111","Hippocampus","Mouse 1","Slide-seq","Tbcb","CA1",3.74622937835424,-2.73416976909385,0.729845797721815,0.000179512461751788,"paternal",FALSE
"112","Hippocampus","Mouse 1","Slide-seq","Prps1","CA1",3.74577338647533,-1.43555307664404,0.383246109288756,0.000179838878802583,"paternal",TRUE
"113","Hippocampus","Mouse 1","Slide-seq","Meg3","CA3",16.4776142772718,5.24150047524724,0.318098262712525,5.31408406174218e-61,"maternal",FALSE
"114","Hippocampus","Mouse 1","Slide-seq","Serinc1","CA3",15.1448561454853,0.969843998523818,0.0640378481781043,8.19337090308414e-52,"maternal",FALSE
"115","Hippocampus","Mouse 1","Slide-seq","Hspa8","CA3",14.4008576544826,1.67055781845674,0.116004050490475,5.11053704831601e-47,"maternal",FALSE
"116","Hippocampus","Mouse 1","Slide-seq","Gapdh","CA3",14.0201933772647,-3.80466067131423,0.271370056670111,1.17294617008244e-44,"paternal",FALSE
"117","Hippocampus","Mouse 1","Slide-seq","Calm3","CA3",13.8352696026669,-0.968749987117656,0.0700203187172381,1.56149911916336e-43,"paternal",FALSE
"118","Hippocampus","Mouse 1","Slide-seq","Ogfrl1","CA3",12.1631759056991,0.974306309173885,0.080102953104326,4.88229772349299e-34,"maternal",FALSE
"119","Hippocampus","Mouse 1","Slide-seq","Calm2","CA3",11.5179308001476,1.22394429540174,0.10626425150827,1.07153326415767e-30,"maternal",FALSE
"120","Hippocampus","Mouse 1","Slide-seq","Pdhb","CA3",11.1098228577975,-1.49164033568584,0.134263197062491,1.12382230105776e-28,"paternal",FALSE
"121","Hippocampus","Mouse 1","Slide-seq","Gm17494","CA3",9.9322155578311,1.62671856066607,0.163782043512283,3.01481121540784e-23,"maternal",FALSE
"122","Hippocampus","Mouse 1","Slide-seq","Ywhah","CA3",9.92484735869765,-0.5585570682318,0.0562786557863087,3.24598999950267e-23,"paternal",FALSE
"123","Hippocampus","Mouse 1","Slide-seq","Nell2","CA3",9.60755934892676,1.20263168810476,0.125175566908062,7.42889679676172e-22,"maternal",FALSE
"124","Hippocampus","Mouse 1","Slide-seq","Cck","CA3",8.73394770176705,-0.801885216497577,0.0918124591397931,2.4593486138302e-18,"paternal",FALSE
"125","Hippocampus","Mouse 1","Slide-seq","Rnf14","CA3",8.4807705579095,1.7366099261885,0.204770299388522,2.23707381803419e-17,"maternal",FALSE
"126","Hippocampus","Mouse 1","Slide-seq","Morf4l2","CA3",8.27876380638334,-2.81141894179489,0.339594051424337,1.24460519248762e-16,"paternal",TRUE
"127","Hippocampus","Mouse 1","Slide-seq","Nrip3","CA3",8.25606159650988,0.566837477183681,0.0686571279244456,1.50557947789744e-16,"maternal",FALSE
"128","Hippocampus","Mouse 1","Slide-seq","Tceal3","CA3",8.12092898794815,-1.55630541753227,0.191641303580157,4.62628677401059e-16,"paternal",TRUE
"129","Hippocampus","Mouse 1","Slide-seq","Shank1","CA3",7.94857066328918,2.84292309038074,0.357664693541808,1.88675707472122e-15,"maternal",FALSE
"130","Hippocampus","Mouse 1","Slide-seq","Rpl21","CA3",7.90399142521405,-0.844128490951392,0.106797748825813,2.7011161607198e-15,"paternal",FALSE
"131","Hippocampus","Mouse 1","Slide-seq","Scoc","CA3",7.87957436143474,1.21988530845231,0.154816142661567,3.28498152996093e-15,"maternal",FALSE
"132","Hippocampus","Mouse 1","Slide-seq","Tceal6","CA3",7.09189159858224,-1.31398490497646,0.185279891367649,1.32291123556302e-12,"paternal",TRUE
"133","Hippocampus","Mouse 1","Slide-seq","App","CA3",6.47055398734977,0.522184264034514,0.0807016315844683,9.76442574430252e-11,"maternal",FALSE
"134","Hippocampus","Mouse 1","Slide-seq","Sort1","CA3",6.37379722421033,-1.23667112373509,0.194024233942948,1.84404373611028e-10,"paternal",FALSE
"135","Hippocampus","Mouse 1","Slide-seq","Dnajb6","CA3",6.26260434102566,-1.49961023072463,0.239454729863874,3.78600378310567e-10,"paternal",FALSE
"136","Hippocampus","Mouse 1","Slide-seq","Snrpn","CA3",6.2359949224312,-6.24231337235772,1.00101322242964,4.48915660927472e-10,"paternal",FALSE
"137","Hippocampus","Mouse 1","Slide-seq","Ube2k","CA3",6.19335305337053,-2.30723780055614,0.372534518971189,5.88975985378909e-10,"paternal",FALSE
"138","Hippocampus","Mouse 1","Slide-seq","Kcnq1ot1","CA3",6.18875013513743,-1.60092164822228,0.258682547083754,6.06431192686123e-10,"paternal",FALSE
"139","Hippocampus","Mouse 1","Slide-seq","Dnaja1","CA3",6.08371988947826,-3.11015700972822,0.511226201440867,1.17425683344743e-09,"paternal",FALSE
"140","Hippocampus","Mouse 1","Slide-seq","Fam193a","CA3",6.04324412861135,-2.55835859296455,0.423341923397099,1.51045837172441e-09,"paternal",FALSE
"141","Hippocampus","Mouse 1","Slide-seq","Rasgrf1","CA3",5.99491408169259,-2.54325686770775,0.424235749345333,2.03593054381147e-09,"paternal",FALSE
"142","Hippocampus","Mouse 1","Slide-seq","R3hdm4","CA3",5.99354048311741,0.984077164669871,0.164189625054142,2.05321021728773e-09,"maternal",FALSE
"143","Hippocampus","Mouse 1","Slide-seq","Calm1","CA3",5.93723501233433,-0.290076731809243,0.0488572089881271,2.89869016529508e-09,"paternal",FALSE
"144","Hippocampus","Mouse 1","Slide-seq","Sptan1","CA3",5.93034473206586,-0.71017471433376,0.11975268663452,3.02299324741631e-09,"paternal",FALSE
"145","Hippocampus","Mouse 1","Slide-seq","Bend6","CA3",5.81914171063879,-2.47560028132743,0.425423611320797,5.91505702577744e-09,"paternal",FALSE
"146","Hippocampus","Mouse 1","Slide-seq","Kif1a","CA3",5.72128486079175,-2.65040430886342,0.463253337904353,1.0572146862076e-08,"paternal",FALSE
"147","Hippocampus","Mouse 1","Slide-seq","Scg5","CA3",5.64701530299902,0.981166277753591,0.173749534064927,1.63257303660065e-08,"maternal",FALSE
"148","Hippocampus","Mouse 1","Slide-seq","Hnrnpc","CA3",5.59323046310493,-1.34681215012817,0.24079325159445,2.22883123054357e-08,"paternal",FALSE
"149","Hippocampus","Mouse 1","Slide-seq","Dlgap1","CA3",5.41135297823277,-0.459093533746937,0.0848389553580494,6.25503376392896e-08,"paternal",FALSE
"150","Hippocampus","Mouse 1","Slide-seq","Cfl1","CA3",5.40231471487059,0.649360222855451,0.120200369124738,6.57863966417477e-08,"maternal",FALSE
