gene_id	gene_name
941	4930506C21Rik
942	4930507D05Rik
943	4930507D10Rik
944	4930509E16Rik
945	4930509G22Rik
946	4930509H03Rik
947	4930509J09Rik
948	4930509K18Rik
949	4930510E17Rik
950	4930511A02Rik
951	4930511E03Rik
952	4930511M06Rik
953	4930511M18Rik
954	4930512B01Rik
955	4930512H18Rik
956	4930512J16Rik
957	4930512M02Rik
958	4930512P04Rik
959	4930513D17Rik
960	4930513N10Rik
961	4930513N20Rik
962	4930513O06Rik
963	4930515G01Rik
964	4930515G13Rik
965	4930515G16Rik
966	4930515L19Rik
967	4930516B21Rik
968	4930516K23Rik
969	4930517E11Rik
970	4930517G19Rik
971	4930517J16Rik
972	4930517L18Rik
973	4930517O19Rik
974	4930518C09Rik
975	4930518I15Rik
976	4930518I17Rik
977	4930518J20Rik
978	4930519A11Rik
979	4930519D14Rik
980	4930519E07Rik
981	4930519F09Rik
982	4930519F16Rik
983	4930519G04Rik
984	4930519H02Rik
985	4930519L02Rik
986	4930520O04Rik
987	4930521E06Rik
988	4930522H14Rik
989	4930522L14Rik
990	4930522N08Rik
991	4930523C07Rik
992	4930524B15Rik
993	4930524B17Rik
994	4930524O07Rik
995	4930524O08Rik
996	4930525G20Rik
997	4930526A20Rik
998	4930526F13Rik
999	4930526L06Rik
1000	4930527B05Rik
1001	4930528D03Rik
1002	4930528G23Rik
1003	4930528H21Rik
1004	4930528J11Rik
1005	4930528P14Rik
1006	4930529C04Rik
1007	4930529I22Rik
1008	4930532G15Rik
1009	4930532M18Rik
1010	4930533B01Rik
1011	4930533D04Rik
1012	4930533I22Rik
1013	4930533K18Rik
1014	4930533L02Rik
1015	4930533N22Rik
1016	4930534D22Rik
1017	4930535E02Rik
1018	4930535G08Rik
1019	4930537H20Rik
1020	4930538E20Rik
1021	4930539C22Rik
1022	4930539E08Rik
1023	4930539J05Rik
1024	4930539M17Rik
1025	4930540E01Rik
1026	4930540M05Rik
1027	4930542C12Rik
1028	4930542C16Rik
1029	4930544D05Rik
1030	4930544I03Rik
1031	4930544L04Rik
1032	4930544M13Rik
1033	4930545L23Rik
1034	4930546C10Rik
1035	4930547M16Rik
1036	4930548G14Rik
1037	4930548H24Rik
1038	4930550C14Rik
1039	4930550C17Rik
1040	4930551L18Rik
1041	4930551O13Rik
1042	4930553P18Rik
1043	4930554C24Rik
1044	4930554G24Rik
1045	4930554H23Rik
1046	4930555A03Rik
1047	4930555B11Rik
1048	4930555F03Rik
1049	4930555O08Rik
1050	4930556G01Rik
1051	4930556G22Rik
1052	4930556I23Rik
1053	4930556J24Rik
1054	4930556M19Rik
1055	4930557B06Rik
1056	4930557J02Rik
1057	4930557K07Rik
1058	4930558C23Rik
1059	4930558G05Rik
1060	4930558J18Rik
1061	4930558J22Rik
1062	4930558K02Rik
1063	4930558N11Rik
1064	4930560O18Rik
1065	4930562A09Rik
1066	4930562C15Rik
1067	4930562D21Rik
1068	4930562F07Rik
1069	4930562F17Rik
1070	4930563E18Rik
1071	4930563E22Rik
1072	4930563F08Rik
1073	4930563I02Rik
1074	4930563M21Rik
1075	4930564D02Rik
1076	4930565N06Rik
1077	4930566N20Rik
1078	4930567K12Rik
1079	4930568A12Rik
1080	4930568A13Rik
1081	4930568D16Rik
1082	4930568G15Rik
1083	4930570G19Rik
1084	4930571N24Rik
1085	4930572K03Rik
1086	4930573C15Rik
1087	4930573H18Rik
1088	4930573I07Rik
1089	4930577N17Rik
1090	4930578G10Rik
1091	4930578I07Rik
1092	4930578M01Rik
1093	4930579C12Rik
1094	4930579F01Rik
1095	4930579G18Rik
1096	4930579G24Rik
1097	4930579H20Rik
1098	4930579K19Rik
1099	4930579M01Rik
1100	4930580E04Rik
1101	4930581F22Rik
1102	4930583I09Rik
1103	4930583K01Rik
1104	4930583P06Rik
1105	4930584F24Rik
1106	4930586N03Rik
1107	4930587A21Rik
1108	4930587E11Rik
1109	4930588G17Rik
1110	4930588K23Rik
1111	4930589L23Rik
1112	4930589O11Rik
1113	4930589P08Rik
1114	4930590J08Rik
1115	4930590L14Rik
1116	4930590L20Rik
1117	4930591A17Rik
1118	4930592C13Rik
1119	4930593A02Rik
1120	4930593C16Rik
1121	4930594C11Rik
1122	4930594M17Rik
1123	4930594M22Rik
1124	4930594O21Rik
1125	4930595M18Rik
1126	4930595O18Rik
1127	4930596D02Rik
1128	4930596I21Rik
1129	4930597A21Rik
